B1,B2,B3,B4,B5,PB
37,52,22,36,17,24
22,54,52,14,59,4
29,8,37,38,5,34
14,10,40,51,30,1
36,7,26,8,19,15
13,54,41,37,27,32
50,17,57,35,4,12
47,18,58,53,51,30
14,49,9,7,45,23
41,33,10,59,29,15
41,37,17,50,21,1
16,36,20,6,31,8
55,26,48,45,24,8
9,36,44,45,39,9
14,49,39,24,20,7
21,7,32,52,44,10
13,45,54,5,17,12
15,59,52,10,31,4
36,52,44,4,40,33
21,22,52,49,58,34
14,6,32,52,38,20
22,41,49,21,5,15
11,34,55,41,49,20
57,56,1,53,12,5
28,44,12,22,25,24
23,25,16,49,58,20
47,13,34,40,57,11
41,5,57,34,22,31
52,58,53,37,51,38
28,15,36,23,21,20
7,58,55,29,2,27
20,19,47,57,40,29
6,20,10,1,13,32
24,3,28,1,41,10
39,14,43,9,4,38
18,34,40,59,48,25
22,49,27,14,32,5
38,13,12,9,35,30
29,18,11,36,8,6
54,31,9,30,50,39
48,11,45,30,47,10
57,30,13,38,32,25
38,43,6,48,47,27
52,53,3,14,10,3
10,41,44,56,48,4
28,21,20,56,27,4
21,23,38,20,42,6
27,37,22,45,35,3
16,58,22,30,51,25
59,30,46,38,20,27
1,11,20,27,25,2
1,57,16,41,17,15
53,30,19,37,28,36
52,26,31,22,4,30
22,52,10,23,7,29
58,50,36,9,33,31
47,4,33,32,55,39
7,22,10,27,12,26
17,36,29,16,31,23
32,56,4,27,22,13
40,20,21,17,51,19
33,22,42,14,11,38
10,57,51,35,39,20
36,20,59,17,7,33
7,20,21,34,43,34
18,44,1,39,37,13
10,36,52,24,55,15
8,35,27,16,42,30
52,13,55,44,51,30
30,12,36,20,47,25
26,41,14,37,46,24
42,32,49,6,2,35
46,34,32,22,12,2
28,16,12,11,15,11
20,39,7,17,59,17
20,2,46,7,16,34
25,24,20,59,53,15
49,7,27,1,36,39
34,45,38,39,50,33
7,12,23,34,38,33
5,8,44,40,11,10
30,51,17,48,54,29
14,59,54,53,16,5
12,10,38,53,57,1
20,8,21,37,32,4
47,37,30,54,10,39
10,5,12,11,20,2
27,24,42,31,13,22
25,8,11,58,41,16
1,8,19,10,20,23
32,18,45,10,11,18
43,19,4,11,33,14
33,11,44,47,46,12
52,50,1,38,17,24
18,37,20,16,3,30
37,47,18,22,54,36
40,22,32,26,38,7
7,52,6,33,26,24
48,23,40,21,19,27
22,13,9,37,23,31
36,51,56,22,59,32
34,30,51,31,45,23
4,47,58,5,36,6
28,45,24,52,49,2
33,57,53,3,14,36
15,41,59,37,56,5
51,39,42,11,7,30
32,52,36,48,11,19
23,48,21,9,13,24
12,34,3,42,37,36
32,36,39,29,49,29
4,45,21,17,13,10
50,58,7,31,51,6
42,31,23,48,2,21
12,20,28,40,48,8
4,41,1,12,47,3
53,28,48,39,40,9
11,20,46,27,3,8
15,28,5,26,32,9
10,4,11,33,19,27
58,56,20,19,42,37
43,22,34,6,45,23
56,18,55,10,41,15
53,5,56,14,32,11
4,49,39,50,23,39
21,55,33,45,44,7
9,24,43,34,36,27
58,11,3,48,47,19
40,44,55,24,4,5
41,15,6,13,32,3
15,41,29,27,3,24
11,55,47,2,27,15
43,32,9,45,17,31
40,18,17,8,44,16
7,12,42,49,13,16
8,49,2,40,50,36
50,4,31,42,23,23
43,12,20,51,55,11
56,38,46,8,18,31
17,58,39,19,41,21
53,37,14,44,45,29
50,16,18,36,27,8
41,43,20,19,38,29
22,38,21,12,41,18
59,12,46,19,15,12
18,39,57,36,41,12
30,24,57,59,45,26
11,29,1,51,18,32
55,50,24,11,15,8
31,9,23,1,11,6
54,18,8,19,32,8
28,48,54,24,50,25
40,42,38,1,4,17
38,1,48,27,7,30
40,51,59,41,38,33
55,20,40,47,41,19
49,19,13,28,21,11
57,59,54,25,30,6
46,41,36,18,11,38
35,9,50,12,58,4
31,28,48,18,52,37
23,2,47,28,17,36
49,53,13,9,47,39
2,54,12,58,25,14
19,35,57,47,13,29
15,52,25,53,54,2
54,3,5,27,18,13
32,53,22,4,19,24
16,50,42,59,41,5
43,22,6,20,32,11
47,52,55,48,12,13
27,12,3,4,44,26
41,51,30,50,53,8
27,43,12,23,1,31
46,7,43,54,20,17
35,3,37,27,45,31
43,10,12,23,47,18
38,24,5,10,43,1
26,35,16,52,58,2
8,3,23,30,58,13
39,21,1,18,55,6
11,40,16,51,56,38
12,39,14,46,34,36
43,39,2,33,40,26
58,59,35,5,57,12
56,4,35,51,36,8
22,25,39,13,51,28
16,9,17,28,30,11
30,35,57,4,59,25
55,20,37,45,39,28
47,6,2,34,35,22
18,5,33,43,45,8
39,20,14,40,3,37
33,41,4,19,59,9
46,52,24,56,2,19
59,28,51,13,49,33
31,15,13,54,10,18
52,51,16,14,30,19
16,27,45,41,21,14
5,25,40,23,28,34
50,35,21,47,46,2
3,24,38,21,39,24
47,5,29,45,19,25
41,30,10,36,38,1
50,34,29,6,44,28

44,12,43,24,45,7

28,19,29,47,4,5

41,54,59,33,5,13

8,13,59,17,34,35

23,56,43,45,15,7

38,51,17,28,39,33

37,52,10,1,57,11

12,11,32,56,52,11

23,50,28,59,56,5

17,39,16,7,51,32

54,11,6,42,53,7

26,1,11,4,23,14

47,30,29,49,45,35

45,35,47,46,12,12

5,41,20,14,17,5

1,8,59,46,41,24

11,55,58,14,49,30

32,43,53,55,56,6

15,37,35,1,47,8

50,58,16,29,11,33

14,5,58,54,36,27

33,24,49,45,1,6

13,30,5,20,17,18

44,42,16,47,23,2

15,16,19,14,24,2

22,39,49,46,20,29

8,42,51,20,6,16

29,43,25,4,34,29

57,40,58,31,39,33

7,33,50,38,8,29

12,59,44,20,9,23

56,7,1,11,55,1

35,24,58,53,10,22

21,43,28,3,7,2

46,13,8,51,35,30

59,7,53,26,4,32

49,59,13,41,14,14

10,56,9,24,52,14

17,45,10,29,9,33

59,48,19,33,30,27

56,45,57,22,18,27

14,57,33,10,7,18

14,16,27,15,8,26

17,11,29,56,57,14

44,1,53,3,41,30

58,34,6,46,40,6

20,7,15,41,44,22

35,19,14,39,56,33

5,3,29,59,39,29

5,36,49,55,22,23

4,46,16,37,32,13

5,2,57,23,20,3

9,54,38,56,31,20

14,3,46,38,35,16

6,50,5,36,13,13

58,3,56,48,16,4

55,30,53,48,19,18

7,15,3,11,28,12

51,13,46,39,4,1

56,27,46,6,51,21

55,41,26,14,59,1

47,31,22,29,55,19

7,20,6,1,49,23

49,54,28,25,56,28

8,44,21,11,49,22

42,4,26,51,19,29

34,44,20,48,6,29

48,56,24,36,33,6

43,26,3,20,48,1

50,1,8,39,5,23

40,42,18,16,2,33

41,26,42,13,39,10

57,14,29,18,28,8

55,23,17,59,36,10

36,59,26,15,34,35

35,18,43,29,26,28

5,2,26,25,49,18

42,23,10,7,1,35

4,28,31,44,21,10

18,50,23,3,21,4

34,56,36,32,22,33

45,31,1,48,27,5

54,4,7,9,30,25

32,45,34,52,58,20

55,32,50,54,42,32

44,10,58,8,30,13

15,59,27,58,3,20

24,30,8,18,39,26

22,32,37,44,50,34

5,23,16,22,29,6

46,10,3,19,36,3

27,19,38,13,17,12

23,40,53,26,7,21

36,25,44,8,10,28

40,23,44,55,15,14

23,20,5,30,8,3

18,44,35,39,1,11

54,43,13,11,23,4

55,52,46,50,36,14

20,18,53,28,35,20

30,49,54,26,51,25

11,20,13,27,59,26

47,21,23,14,10,7

51,21,32,28,9,35

29,8,28,34,38,35

24,43,11,12,45,9

22,49,41,26,3,18

47,16,14,32,52,16

41,33,16,40,11,34

36,38,5,27,41,12

58,36,16,6,5,3

12,43,27,25,23,29

58,16,15,46,50,29

25,3,32,17,19,17

41,31,39,2,5,29

48,20,14,34,3,21

56,13,8,41,3,16

45,10,6,23,41,1

46,52,37,10,40,12

38,9,32,28,5,29

44,53,7,21,3,16

43,17,14,13,54,15

29,53,52,17,31,31

43,48,7,37,52,16

23,46,11,26,55,27

35,8,12,1,6,3

39,29,4,8,7,24

40,1,52,36,53,20

10,57,31,12,56,33

58,18,48,13,36,28

6,39,8,30,48,20

9,59,31,56,19,2

55,54,48,23,3,5

31,22,55,26,54,18

26,36,40,7,12,17

21,57,26,22,30,27

6,23,19,43,13,16

2,34,11,41,26,32

22,10,13,14,52,11

31,35,41,9,57,26

27,21,19,6,2,25

49,14,9,17,57,2

33,53,59,22,28,14

4,36,26,33,55,32

2,26,11,32,22,19

22,16,42,23,55,32

48,55,28,40,36,1

57,47,46,52,7,17

33,57,19,23,13,28

1,46,39,33,18,33

28,8,56,53,30,16

40,6,51,29,3,4

52,2,36,35,13,11

55,45,31,30,59,27

8,37,2,35,22,6

22,1,42,38,34,17

14,27,58,25,38,6

44,29,54,40,9,7

58,53,40,23,9,6

8,24,59,39,49,5

24,36,21,45,42,15

58,5,25,59,30,32

37,58,14,4,12,13

17,43,11,4,51,20

18,54,56,21,46,23

30,48,42,46,40,23

45,17,59,12,25,19

32,19,7,9,6,13

40,25,7,56,2,20

2,45,26,9,47,11

2,22,19,45,26,24

19,33,42,52,11,33

1,25,44,17,37,20

7,10,35,32,22,19

58,54,45,17,12,13

49,7,17,53,2,23

47,53,14,52,54,5

6,51,42,4,25,17

11,39,40,17,12,5

9,38,3,33,19,18

10,58,26,57,8,4

3,42,26,34,28,28

33,9,56,54,57,5

47,34,23,31,3,13

56,6,4,34,49,29

54,2,49,36,40,10

27,40,13,23,24,17

49,1,5,10,15,22

37,56,3,49,9,32

31,5,55,50,56,9

29,37,59,10,44,10

32,4,45,23,18,7

12,52,55,43,5,10

57,25,18,55,50,17

26,5,45,44,57,29

9,6,11,44,31,25

45,13,48,32,20,17

10,18,19,1,13,27

33,41,25,14,32,34

39,7,40,24,37,1

36,51,45,25,40,8

38,56,28,39,23,32

56,51,35,44,8,18

52,48,15,24,40,23

19,58,37,20,41,14

39,28,58,47,10,22

54,15,48,33,10,34

29,8,9,7,24,25

38,14,13,19,31,25

55,2,7,1,9,29
57,8,55,12,18,2
47,23,11,28,32,20
12,15,38,5,27,7
8,57,17,59,32,24
54,37,34,25,24,29
52,49,36,57,44,1
9,23,2,14,21,3
17,49,54,35,1,34
13,2,54,14,3,4
42,11,12,38,17,2
3,8,25,47,30,13
26,3,9,7,54,19
14,24,32,41,10,30
28,54,14,15,37,10
34,5,51,2,58,9
34,23,43,19,2,14
55,13,28,58,31,15
33,41,59,44,28,21
3,12,27,38,2,17
19,22,13,53,8,24
26,11,21,34,33,29
49,14,48,9,44,29
26,45,14,55,54,20
42,34,59,39,44,8
35,6,51,5,29,21
29,48,36,19,25,12
30,3,22,7,33,20
9,2,19,50,11,32
15,5,46,49,16,26
48,31,17,49,29,34
41,47,55,31,4,1
55,7,52,33,39,33
32,23,47,39,49,22
20,34,58,4,39,31
55,15,49,16,28,18
24,2,28,32,59,25
34,15,48,27,31,1
22,7,1,10,49,24
58,30,35,28,59,15
14,25,33,18,49,23
33,54,42,9,45,30
6,52,59,29,9,7
41,6,54,5,37,26
50,53,10,20,25,35
56,8,12,43,34,9
58,18,53,8,45,35
34,58,24,36,57,11
9,55,42,25,57,14
23,7,2,3,51,26
5,32,26,18,15,35
10,53,17,25,45,9
22,12,4,31,10,3
38,39,28,24,30,16
49,13,30,53,42,29
12,46,44,47,26,29
49,1,8,24,28,24
34,12,31,51,3,24
37,8,40,52,39,24
7,8,17,59,48,9
21,40,8,38,4,3
52,28,36,32,35,31
24,17,45,46,26,19
5,52,28,59,31,27
43,2,51,45,16,35
29,43,31,50,9,18
14,39,2,40,43,13
37,6,1,53,16,27
36,18,25,50,48,23
23,22,30,39,37,16
7,14,24,41,21,26
54,11,52,35,2,13
20,1,45,18,4,7
13,33,18,24,25,31
46,50,16,31,5,18
37,39,38,19,10,28
5,7,28,27,19,20
36,20,54,27,26,19
40,42,30,29,50,16
54,57,51,6,10,12
48,28,59,25,57,16
1,38,25,13,3,17
19,2,11,21,42,34
9,33,19,38,54,15
55,37,39,52,51,11
35,16,33,51,13,28
38,6,36,48,51,17
54,53,23,57,49,35
46,17,22,16,54,35
13,30,24,42,48,27
54,30,32,46,25,26
43,22,49,15,12,14
48,34,55,44,54,10
5,13,43,55,28,33
47,31,48,38,22,15
19,15,56,31,14,5
46,11,12,47,50,22
36,14,10,11,7,15
40,27,17,53,37,35
4,43,46,55,18,25
47,49,59,15,14,10
19,9,29,2,28,19
10,4,53,2,41,22
15,27,23,36,16,9
57,12,28,15,11,23
19,16,20,33,29,10
49,24,12,36,35,1
16,5,50,11,26,34
51,52,36,24,56,22
34,58,5,21,10,33
25,11,54,13,39,19
44,45,1,24,51,28
29,1,49,9,32,22
18,51,14,34,10,26
39,17,21,32,19,8
25,28,11,17,46,12
8,35,15,12,50,32
50,42,36,38,34,33
24,44,31,11,40,27
46,47,8,14,39,18
30,47,33,25,14,8
30,38,16,11,42,7
54,23,19,7,50,14
38,2,12,4,6,17
44,39,30,33,2,1
41,33,39,54,40,28
1,19,45,58,46,29
58,1,32,42,12,12
1,21,29,16,40,30
31,22,13,23,29,17
25,10,14,39,53,18
45,21,35,33,38,12
26,1,38,34,51,6
2,31,6,11,30,33
24,41,39,23,27,30
58,4,17,35,15,17
31,29,1,47,25,7
48,24,38,52,29,32
12,1,44,28,35,25
31,9,43,17,15,16
8,15,59,34,53,23
57,25,8,56,9,22
6,40,37,13,8,11
18,43,13,8,27,15
49,32,31,53,48,25
41,29,52,54,48,29
22,20,21,54,41,7
20,16,10,57,9,15
5,10,3,22,32,7
35,18,46,49,28,27
24,41,31,26,7,25
24,18,6,3,14,21
30,27,25,15,4,18
46,39,52,11,54,3
45,34,13,50,16,11
39,6,37,45,55,33
31,12,57,44,43,11
27,44,41,29,34,2
4,52,22,27,28,35
13,7,49,24,57,15
42,14,9,16,11,19
34,48,54,52,9,15
29,38,8,13,52,28
3,17,13,52,42,24
6,43,48,50,8,7
12,14,21,4,55,7
22,56,2,45,32,12
25,18,29,21,28,16
17,46,22,30,56,16
29,10,18,16,45,19
50,44,45,51,47,8
35,3,16,2,13,27
7,5,39,24,31,7
12,43,17,26,48,24
8,29,51,58,41,5
23,57,42,31,50,5
40,59,21,39,55,17
33,6,46,44,26,4
52,40,48,18,30,9
27,68,12,43,29,1
20,15,31,40,29,1
57,62,69,49,48,19
57,32,30,42,56,11
20,31,56,64,60,2
56,62,54,63,4,10
9,47,20,25,68,7
12,2,17,20,65,17
50,53,7,16,25,15
26,4,32,55,64,18
66,37,22,14,45,5
40,17,46,69,41,6
37,57,47,50,52,21
53,16,69,58,29,21
47,2,66,67,6,2
14,18,19,64,32,9
47,33,68,27,13,13
16,46,10,56,7,1
62,2,30,19,14,22
9,42,10,55,32,6
30,68,59,41,28,10
67,16,63,38,55,25
65,40,44,59,27,20
12,61,54,38,36,22
42,15,6,5,29,10
47,2,63,62,11,17
32,16,19,57,34,13
8,27,34,4,19,10
61,52,51,64,3,6
44,5,39,69,47,24
32,22,40,69,34,19
40,52,3,67,12,21
16,5,12,31,43,18
26,60,67,31,28,23
13,4,36,31,52,8
2,62,40,50,3,5
7,15,36,18,19,20
29,27,7,40,17,25
54,12,11,16,15,25
67,21,65,31,64,5
22,11,53,21,10,18
62,52,13,12,44,6
3,34,27,59,69,19
32,34,14,23,68,3
28,11,50,57,62,23
46,50,12,13,10,21
11,60,23,54,43,3
22,15,49,5,8,25
23,42,68,52,11,6
55,24,63,53,44,19
9,61,28,40,30,3
65,28,49,60,4,25
14,23,41,61,22,9
30,35,38,33,64,22
32,3,25,51,18,3
62,30,12,25,52,8
46,62,59,35,19,13
25,39,64,2,33,17
32,16,3,34,12,14
47,69,30,66,57,3
25,66,44,5,26,9
69,32,52,66,20,23
64,27,65,13,47,9
25,67,39,23,54,11
9,32,5,7,23,26
64,24,59,41,11,15
6,34,33,59,58,12
40,69,33,23,30,12
20,16,43,64,22,17
37,69,12,25,60,20
36,58,27,41,20,7
33,4,24,31,22,10
53,2,23,63,41,11
14,42,43,52,40,17
36,3,56,69,27,25
29,37,23,64,60,6
63,39,59,34,10,4
66,57,2,31,24,18
32,28,10,64,61,12
57,15,29,3,54,10
11,50,40,17,62,26
6,58,66,25,35,5
39,5,35,7,23,11
10,47,68,65,50,24
32,21,17,23,11,5
66,27,11,9,67,2
52,33,47,36,20,12
64,56,61,23,67,12
44,38,64,69,60,6
44,49,33,50,52,8
68,3,21,6,60,24
25,11,9,65,64,16
48,32,63,4,49,20
10,56,24,61,5,12
39,59,7,67,50,25
23,55,33,22,29,21
3,17,49,68,55,8
10,31,23,28,11,14
51,19,9,62,55,14
63,67,1,69,28,17
15,7,29,41,20,22
30,53,62,38,52,1
12,64,50,61,2,1
60,29,18,27,8,15
3,64,68,61,54,9
34,44,30,16,37,16
64,49,57,23,67,20
43,63,16,38,10,23
1,55,33,28,56,22
48,56,2,16,3,24
42,48,20,21,19,23
18,54,61,13,37,5
31,50,69,21,51,8
28,31,54,25,1,2
20,8,27,52,17,24
28,61,63,41,65,7
24,61,43,16,28,21
7,61,41,47,32,3
21,17,37,44,19,16
3,45,25,14,18,7
27,26,33,8,10,22
49,64,48,41,53,20
32,21,12,44,66,15
39,18,66,37,26,15
16,40,8,48,1,10
25,68,40,54,33,3
38,52,42,51,28,21
30,23,44,58,16,4
1,28,3,67,57,9
17,16,42,41,29,4
37,63,12,24,3,10
1,16,13,43,3,24
55,69,23,64,59,13
41,9,58,40,53,12
45,25,23,67,52,2
18,62,66,68,28,22
39,12,49,69,20,17
9,60,64,43,57,10
52,17,16,13,6,25
49,20,42,14,66,5
37,64,17,9,5,2
33,5,42,38,28,19
9,3,33,7,31,20
52,10,61,28,13,2
6,62,32,47,65,19
16,10,52,40,55,17
2,22,63,19,18,19
42,23,59,46,33,4
57,41,50,26,1,11
30,16,41,48,53,16
25,67,54,44,13,5
2,29,9,27,42,9
32,18,31,48,45,16
8,62,31,36,15,11
65,9,44,36,32,1
53,20,54,46,8,13
51,53,36,23,60,15
68,63,14,8,61,24
61,26,45,5,22,13
1,19,52,40,37,15
39,21,48,41,63,6
18,1,51,15,26,26
24,22,23,62,45,5
18,49,66,17,59,9
31,21,11,41,59,21
62,31,56,46,29,8
68,17,20,63,32,19
39,4,48,45,11,9
45,5,47,54,22,3
38,28,33,32,62,15
55,10,5,67,28,9
60,39,33,4,46,6
54,41,9,3,21,25
66,57,5,69,21,13
32,26,20,38,58,3
63,22,5,43,57,24
13,62,10,53,32,21
65,14,46,68,61,13
36,32,22,58,10,10
46,37,29,53,68,8
45,19,42,53,48,16
54,9,68,4,16,21
29,8,40,59,10,26
18,23,2,61,1,9
40,66,9,64,63,17
63,51,59,61,50,4
44,32,60,5,53,9
19,42,21,7,69,12
1,40,28,48,45,12
16,1,54,63,69,18
33,21,45,11,28,11
12,30,47,62,36,9
35,20,49,26,24,19
64,43,60,9,15,4
17,68,19,43,39,13
7,26,16,23,6,4
66,15,7,38,32,15
43,19,69,28,67,7
62,41,21,52,6,26
32,14,8,58,67,17
59,20,6,57,29,22
24,63,35,57,17,19
31,24,25,17,18,24
68,48,67,39,53,26
45,24,56,55,57,19
21,25,10,23,8,22
8,25,12,41,64,15
23,63,62,66,22,24
61,10,49,65,63,7
1,69,19,3,13,23
56,37,69,32,66,11
69,54,49,30,66,8
14,45,69,41,42,4
57,54,29,22,18,8
35,27,57,66,38,10
26,3,19,6,44,1
51,48,12,26,14,13
12,21,14,34,20,22
56,6,4,30,16,18
48,32,44,50,23,25
17,31,28,32,39,26
61,51,37,46,35,13
53,8,54,27,13,4
59,28,26,24,63,16
32,30,36,28,58,6
50,19,55,62,20,9
36,60,55,37,25,6
2,28,51,58,24,7
35,63,37,9,50,11
20,61,64,1,69,20
44,15,1,13,3,25
16,60,3,56,9,3
58,28,51,41,36,24
42,39,18,2,37,12
12,61,30,29,33,26
7,24,50,49,33,4
69,25,35,14,58,24
33,51,3,37,57,21
28,26,58,47,49,3
11,9,5,33,64,21
54,26,17,21,47,7
7,4,14,59,46,22
15,48,23,27,53,6
40,35,34,47,23,10
27,13,41,59,1,20
44,46,37,39,69,26
26,62,39,13,44,2
7,36,31,15,34,8
38,25,62,63,24,6
69,12,65,59,30,16
40,17,36,25,13,5
36,6,19,13,51,18
69,43,54,44,61,22
12,24,6,41,68,9
60,66,22,59,57,7
29,4,61,3,18,25
33,56,53,10,45,24
53,8,52,6,26,21
24,55,52,61,8,21
42,64,54,8,24,24
38,2,20,17,39,20
67,18,16,55,27,18
61,17,19,26,62,15
12,17,10,9,23,9
50,69,54,62,40,19
18,17,39,64,56,12
28,50,22,45,20,8
40,5,31,50,14,6
29,36,14,61,57,17
50,69,16,38,11,19
42,56,22,55,45,14
17,22,21,19,51,19
56,9,17,3,6,25
20,54,61,56,64,7
45,31,21,1,49,21
46,23,26,17,68,20
23,37,64,44,25,7
53,28,41,23,56,14
36,10,25,6,15,14
13,38,45,20,55,1
65,9,58,57,45,9
14,56,27,4,23,13
29,56,45,16,43,25
63,28,62,7,37,15
9,3,20,42,61,24
7,41,15,4,44,10
45,43,1,10,64,22
21,19,47,27,46,7
49,22,41,67,42,11
28,36,10,1,27,12
9,56,58,23,68,1
64,44,18,2,41,26
27,65,56,46,22,13
5,38,22,58,32,26
38,58,3,11,44,2
21,63,30,43,10,17
56,43,5,68,62,24
28,15,12,47,48,16
34,67,52,61,24,16
45,1,47,69,7,13
25,20,57,63,54,8
53,25,41,67,57,12
54,66,55,61,11,9
59,60,6,50,15,13
20,32,3,33,13,21
28,48,63,6,64,24
19,18,24,34,2,3
50,4,51,48,39,11
61,24,69,64,63,18
7,1,30,50,2,8
9,17,34,59,64,22
63,66,53,59,41,3
22,53,27,67,1,15
27,60,42,23,8,7
14,65,11,43,32,15
3,64,69,68,57,15
62,16,54,57,69,23
56,53,45,21,3,22
13,12,8,27,19,4
40,39,47,7,25,20
24,65,21,32,15,11
50,28,34,42,26,25
53,29,5,57,34,24
49,62,42,7,69,23
8,6,68,20,52,5
14,23,38,7,55,18
56,33,58,51,11,18
4,68,59,69,19,21
10,58,47,11,55,26
36,38,9,11,37,11
61,14,34,32,46,10
9,64,29,21,4,26
8,38,55,52,43,17
43,31,29,37,15,16
40,59,28,21,30,26
52,38,25,67,5,24
51,53,42,62,12,25
56,46,42,12,8,12
15,27,69,7,3,19
19,59,37,6,49,22
57,58,7,36,48,24
14,61,29,31,56,1
5,65,8,66,41,20
50,25,48,23,47,24
12,8,21,32,20,10
16,2,12,29,54,6
10,43,17,18,65,13
13,28,5,63,38,21
7,39,2,3,1,25
2,24,8,69,14,26
48,30,41,64,29,1
50,52,49,51,27,2
32,4,20,6,14,13
49,31,59,42,21,23
27,68,25,19,1,21
21,35,10,6,46,23
45,5,59,55,6,14
69,36,45,47,18,14
67,30,34,39,53,11
10,53,50,63,14,21
66,52,60,24,25,5
44,62,20,37,16,12
54,52,21,64,68,4
25,16,32,49,19,18
33,43,60,59,15,8
39,12,21,23,67,6
17,26,32,4,49,10
15,46,66,17,1,15
3,63,27,65,30,1
35,65,32,36,6,4
45,29,62,41,2,6
66,28,23,56,5,17
30,6,23,16,61,2
66,64,45,53,1,3
40,9,8,6,37,26
33,68,61,17,7,4
2,10,66,67,25,26
7,44,57,10,20,3
43,39,2,66,1,2
61,3,42,32,34,7
34,45,6,52,15,8
38,17,28,34,23,8
13,9,48,42,60,18
42,57,35,38,5,13
8,11,49,16,14,14
26,38,21,4,18,1
66,14,3,6,11,21
54,22,16,1,5,24
59,13,24,62,17,8
50,45,43,40,61,25
4,8,46,23,65,1
7,68,9,26,44,3
32,35,13,23,68,21
19,47,68,60,43,10
5,64,36,26,69,19
29,53,56,35,22,13
61,19,1,48,31,6
14,37,67,47,55,6
45,68,3,6,66,13
47,8,59,32,53,3
41,59,58,44,35,3
51,69,30,10,13,10
24,30,18,21,60,20
22,32,21,12,29,21
47,20,12,21,5,1
32,9,41,56,37,14
41,50,14,56,57,18
52,30,8,4,59,2
41,56,20,11,42,6
53,24,57,6,17,3
31,11,27,36,67,11
14,19,47,51,39,15
1,68,36,22,9,22
44,43,37,45,53,25
51,55,34,15,23,4
43,53,8,10,4,7
6,51,36,54,14,4
5,43,65,18,33,2
12,34,53,65,29,23
67,1,25,5,63,3
65,27,59,14,29,12
61,50,12,5,69,23
3,54,20,59,48,4
56,67,52,19,22,21
23,37,32,58,3,22
64,46,28,62,15,17
14,38,60,35,17,25
23,28,66,27,26,11
26,55,63,14,22,26
40,15,39,57,7,12
38,28,66,35,61,23
26,55,37,53,15,21
42,35,15,63,68,18
8,44,61,51,27,14
66,53,18,42,62,25
24,42,29,44,63,10
6,32,3,12,64,19
39,26,68,18,14,9
50,35,67,19,31,14
4,16,2,30,46,20
59,23,39,20,60,18
49,53,57,59,62,26
54,1,25,21,11,7
7,43,56,4,2,22
23,59,31,3,21,3
39,55,53,41,68,19
24,68,20,38,56,18
33,59,44,67,11,8
36,17,2,67,9,18
12,60,9,15,31,2
33,60,54,57,12,13
57,41,35,30,23,2
59,66,35,50,49,6
55,68,47,54,14,25
32,16,36,46,35,3
15,10,12,56,19,19
61,62,37,39,25,11
27,29,36,47,8,24
24,50,46,44,51,13
68,60,18,43,58,14
15,62,7,21,33,23
29,50,67,4,49,2
26,32,9,23,30,8
27,15,59,44,63,8
69,23,2,59,40,13
42,9,5,27,39,16
40,7,55,66,48,11
60,45,48,33,35,16
40,43,31,8,39,4
48,54,39,2,37,5
29,47,30,22,42,17
10,33,41,12,36,2
46,63,56,4,44,19
1,40,69,33,35,24
1,21,3,57,47,18
49,61,67,2,20,20
58,33,13,68,16,24
